iter	Passed	Remaining
776	63008	180266
777	63097	180209
778	63174	180117
779	63254	180030
780	63335	179951
781	63409	179848
782	63485	179755
783	63559	179653
784	63584	179412
785	63666	179334
786	63742	179240
787	63830	179179
788	63914	179107
789	63998	179033
790	64081	178957
791	64164	178882
792	64182	178626
793	64264	178549
794	64348	178475
795	64422	178375
796	64499	178285
797	64585	178218
798	64677	178166
799	64769	178116
800	64858	178057
801	64936	177969
802	65014	177878
803	65056	177692
804	65144	177629
805	65227	177554
806	65251	177319
807	65303	177159
808	65389	177092
809	65477	177030
810	65560	176956
811	65648	176896
812	65691	176713
813	65774	176638
814	65861	176572
815	65945	176500
816	66032	176436
817	66115	176361
818	66207	176309
819	66292	176241
820	66379	176176
821	66458	176090
822	66502	175911
823	66571	175800
824	66652	175720
825	66734	175642
826	66805	175537
827	66883	175447
828	66968	175378
829	67056	175316
830	67133	175225
831	67214	175145
832	67295	175066
833	67381	174997
834	67464	174922
835	67546	174844
836	67633	174781
837	67724	174725
838	67812	174663
839	67897	174593
840	67980	174517
841	68060	174436
842	68139	174348
843	68220	174269
844	68300	174187
845	68383	174110
846	68469	174043
847	68553	173970
848	68637	173898
849	68725	173835
850	68802	173745
851	68891	173684
852	68973	173605
853	69055	173528
854	69149	173479
855	69229	173397
856	69310	173316
857	69396	173247
858	69474	173161
859	69553	173074
860	69631	172985
861	69715	172913
862	69794	172829
863	69882	172765
864	69962	172682
865	70036	172585
866	70116	172500
867	70196	172418
868	70281	172348
869	70367	172278
870	70450	172202
871	70524	172105
872	70610	172037
873	70691	171955
874	70780	171895
875	70865	171823
876	70950	171753
877	71035	171681
878	71125	171623
879	71209	171550
880	71302	171498
881	71390	171435
882	71473	171357
883	71551	171270
884	71631	171187
885	71708	171096
886	71792	171022
887	71873	170941
888	71957	170869
889	72035	170781
890	72106	170675
891	72186	170593
892	72272	170523
893	72360	170459
894	72445	170388
895	72527	170309
896	72613	170240
897	72694	170160
898	72781	170093
899	72862	170011
900	72939	169923
901	73021	169843
902	73103	169764
903	73188	169694
904	73274	169623
905	73356	169545
906	73439	169469
907	73523	169396
908	73607	169321
909	73693	169251
910	73780	169185
911	73872	169130
912	73957	169056
913	74042	168985
914	74128	168916
915	74211	168839
916	74294	168763
917	74380	168693
918	74464	168618
919	74549	168545
920	74628	168460
921	74718	168400
922	74801	168324
923	74886	168251
924	74976	168191
925	75063	168122
926	75155	168066
927	75237	167987
928	75326	167924
929	75407	167843
930	75489	167763
931	75573	167688
932	75656	167611
933	75742	167541
934	75834	167485
935	75918	167410
936	76014	167360
937	76101	167293
938	76189	167226
939	76277	167161
940	76379	167126
941	76462	167048
942	76545	166972
943	76627	166892
944	76713	166821
945	76802	166757
946	76890	166690
947	76976	166619
948	77062	166548
949	77142	166466
950	77240	166419
951	77337	166372
952	77426	166307
953	77511	166235
954	77598	166165
955	77688	166103
956	77774	166031
957	77852	165943
958	77935	165867
959	78031	165817
960	78122	165755
961	78196	165658
962	78280	165583
963	78371	165523
964	78466	165470
965	78549	165393
966	78639	165329
967	78677	165157
968	78767	165093
969	78858	165033
970	78948	164970
971	79060	164952
972	79152	164894
973	79238	164823
974	79354	164812
975	79443	164748
976	79543	164705
977	79635	164644
978	79718	164567
979	79805	164497
980	79894	164430
981	79992	164384
982	80081	164318
983	80173	164257
984	80264	164195
985	80363	164149
986	80453	164085
987	80540	164015
988	80638	163967
989	80735	163917
990	80823	163848
991	80912	163782
992	80999	163711
993	81085	163640
994	81176	163577
995	81265	163509
996	81358	163450
997	81441	163373
998	81521	163287
999	81602	163204
1000	81684	163124
1001	81761	163032
1002	81843	162951
1003	81928	162878
1004	82022	162821
1005	82106	162744
1006	82188	162663
1007	82274	162590
1008	82367	162530
1009	82456	162463
1010	82543	162392
1011	82630	162320
1012	82721	162258
1013	82809	162188
1014	82889	162103
1015	82972	162024
1016	83056	161948
1017	83137	161864
1018	83221	161788
1019	83308	161716
1020	83390	161636
1021	83474	161557
1022	83557	161479
1023	83639	161397
1024	83723	161320
1025	83829	161285
1026	83925	161232
1027	84012	161160
1028	84104	161097
1029	84195	161033
1030	84283	160965
1031	84367	160886
1032	84450	160807
1033	84538	160737
1034	84627	160670
1035	84719	160606
1036	84799	160522
1037	84883	160444
1038	84967	160366
1039	85050	160286
1040	85135	160212
1041	85221	160137
1042	85305	160059
1043	85388	159981
1044	85471	159901
1045	85555	159823
1046	85637	159742
1047	85723	159668
1048	85812	159600
1049	85901	159531
1050	85983	159450
1051	86057	159353
1052	86140	159274
1053	86227	159202
1054	86310	159121
