iter	Passed	Remaining
555	127241	559312
556	127496	559198
557	127755	559102
558	128009	558982
559	128252	558814
560	128532	558806
561	128794	558722
562	129035	558544
563	129291	558427
564	129379	557590
565	129626	557439
566	129861	557234
567	130096	557032
568	130347	556895
569	130569	556639
570	130799	556411
571	131049	556271
572	131242	555892
573	131490	555741
574	131748	555636
575	131997	555489
576	132231	555281
577	132458	555041
578	132700	554866
579	132952	554731
580	133215	554645
581	133444	554413
582	133690	554254
583	133972	554240
584	134220	554087
585	134469	553941
586	134713	553770
587	134941	553535
588	135170	553302
589	135415	553139
590	135651	552934
591	135892	552753
592	136148	552630
593	136385	552431
594	136609	552177
595	136855	552013
596	137123	551938
597	137348	551690
598	137598	551542
599	137839	551358
600	138094	551228
601	138379	551219
602	138630	551071
603	138858	550835
604	139078	550567
605	139324	550398
606	139578	550267
607	139814	550058
608	140033	549786
609	140288	549655
610	140541	549514
611	140804	549413
612	140874	548558
613	141104	548332
614	141354	548181
615	141603	548024
616	141889	548012
617	142132	547832
618	142417	547813
619	142639	547552
620	142686	546619
621	142954	546534
622	143189	546327
623	143418	546091
624	143665	545927
625	143914	545772
626	144170	545639
627	144390	545373
628	144641	545222
629	144894	545078
630	145144	544925
631	145413	544840
632	145664	544689
633	145910	544518
634	146159	544357
635	146406	544189
636	146635	543956
637	146885	543798
638	146915	542828
639	147155	542636
640	147369	542346
641	147573	542021
642	147823	541865
643	148039	541584
644	148255	541306
645	148479	541055
646	148721	540867
647	148972	540716
648	149215	540532
649	149439	540279
650	149661	540024
651	149897	539814
652	150121	539564
653	150356	539351
654	150606	539195
655	150862	539057
656	151127	538953
657	151384	538816
658	151655	538733
659	151931	538666
660	152183	538512
661	152456	538433
662	152727	538346
663	152984	538211
664	153215	537983
665	153429	537694
666	153687	537560
667	153934	537387
668	154161	537145
669	154413	536990
670	154659	536815
671	154879	536547
672	155132	536393
673	155393	536268
674	155670	536197
675	155902	535971
676	156154	535816
677	156386	535588
678	156659	535502
679	156886	535259
680	157148	535134
681	157378	534900
682	157658	534839
683	157920	534714
684	158172	534552
685	158441	534452
686	158698	534308
687	158941	534115
688	159198	533974
689	159410	533679
690	159604	533323
691	159829	533074
692	160080	532909
693	160337	532765
694	160559	532502
695	160822	532379
696	161074	532217
697	161316	532019
698	161551	531802
699	161782	531571
700	162038	531420
701	162240	531094
702	162465	530844
703	162691	530597
704	162902	530299
705	163111	529996
706	163361	529825
707	163596	529609
708	163853	529461
709	164074	529198
710	164309	528980
711	164548	528773
712	164788	528570
713	165001	528280
714	165242	528084
715	165500	527938
716	165757	527789
717	166002	527601
718	166234	527374
719	166469	527153
720	166687	526879
721	166963	526791
722	167228	526665
723	167478	526491
724	167694	526212
725	167934	526008
726	168190	525854
727	168452	525720
728	168886	526120
729	169291	526428
730	169738	526861
731	170042	526853
732	170308	526726
733	170554	526533
734	170786	526300
735	171097	526311
736	171389	526261
737	171671	526181
738	171935	526042
739	172191	525882
740	172448	525724
741	172722	525615
742	172964	525411
743	173357	525664
744	173583	525411
745	173844	525261
746	174082	525044
747	174306	524784
748	174541	524555
749	174788	524365
750	175039	524184
751	175270	523946
752	175524	523777
753	175763	523560
754	175977	523269
755	176249	523153
756	176476	522902
757	176723	522709
758	176994	522587
759	177262	522458
760	177509	522266
761	177763	522092
762	177974	521792
763	178198	521534
764	178435	521311
765	178764	521357
766	179131	521512
767	179431	521472
768	179702	521346
769	180065	521487
770	180320	521314
771	180597	521207
772	180939	521285
773	181194	521110
774	181413	520831
775	181624	520531
776	181880	520360
777	182111	520117
778	182335	519855
779	182587	519672
780	182818	519428
781	183102	519337
782	183360	519168
783	183617	519001
784	183880	518846
785	184137	518676
786	184401	518525
787	184653	518341
788	184893	518122
789	185165	517994
790	185414	517800
791	185667	517619
792	185918	517430
793	186144	517171
794	186392	516976
795	186622	516729
796	186893	516594
797	187117	516333
798	187334	516049
799	187572	515824
800	187837	515672
801	188066	515424
802	188295	515173
803	188538	514964
804	188801	514806
805	189028	514551
806	189309	514442
807	189569	514277
808	189787	513998
809	190078	513916
810	190364	513818
811	190605	513600
812	190882	513480
813	191131	513283
814	191371	513063
815	191601	512814
816	191813	512520
817	192059	512315
818	192311	512125
819	192549	511900
820	192778	511649
821	193004	511390
822	193256	511202
823	193511	511019
824	193743	510777
825	193973	510530
826	194209	510298
827	194446	510069
828	194676	509821
829	194927	509630
830	195177	509433
831	195403	509176
832	195650	508972
833	195877	508719
834	196131	508532
835	196493	508627
836	196722	508374
837	196961	508150
838	197252	508059
839	197574	508048
840	197942	508155
841	198247	508096
842	198524	507968
843	198799	507833
844	199079	507711
845	199329	507512
846	199561	507268
847	199828	507111
848	200105	506979
849	200414	506931
850	200662	506726
851	200948	506616
852	201211	506450
853	201468	506266
854	201772	506201
855	202040	506044
856	202336	505959
857	202650	505918
858	202993	505946
859	203285	505849
860	203552	505689
861	203830	505555
862	204110	505427
863	204383	505281
864	204642	505100
865	204885	504879
866	205176	504776
867	205444	504617
868	205690	504402
869	205996	504336
870	206247	504134
871	206516	503976
872	206766	503772
873	207038	503620
874	207285	503407
875	207519	503162
876	207774	502971
877	208022	502759
878	208269	502547
879	208530	502369
880	208810	502236
881	209043	501990
882	209308	501818
883	209561	501620
884	209831	501461
885	210090	501276
886	210357	501110
887	210634	500969
888	210917	500839
889	211135	500557
890	211397	500378
891	211642	500159
892	211895	499958
893	212125	499705
894	212411	499581
895	212678	499414
896	212962	499287
897	213210	499075
898	213489	498933
899	213732	498708
900	213985	498507
901	214250	498334
902	214497	498117
903	214729	497867
904	214993	497692
905	215249	497498
906	215496	497282
907	215746	497072
908	216048	496982
909	216277	496724
910	216505	496464
911	216788	496330
912	217135	496343
913	217420	496213
914	217712	496099
915	217965	495896
916	218242	495745
917	218520	495598
918	218799	495453
919	219076	495304
920	219353	495152
921	219601	494937
922	219860	494746
923	220141	494602
924	220400	494412
925	220642	494181
926	220893	493972
927	221152	493780
928	221405	493575
929	221655	493361
930	221877	493087
931	222136	492896
932	222436	492794
933	222683	492573
934	222944	492385
935	223149	492073
936	223389	491837
937	223601	491541
938	223916	491472
939	224153	491229
940	224410	491031
941	224672	490845
942	224930	490649
943	225152	490374
944	225396	490146
945	225623	489884
946	225885	489696
947	226137	489487
948	226380	489258
949	226641	489067
950	226922	488921
951	227172	488707
952	227432	488513
953	227701	488341
954	227928	488078
955	228046	487579
956	228284	487341
957	228529	487115
958	228759	486859
959	229007	486640
960	229227	486362
961	229478	486150
962	229677	485828
963	229909	485575
964	230167	485380
965	230419	485168
966	230659	484933
967	230930	484763
968	231218	484629
969	231499	484478
970	231755	484276
971	231999	484048
972	232240	483815
973	232574	483774
974	232811	483531
975	233078	483352
976	233333	483145
977	233611	482989
978	233803	482652
979	234063	482457
980	234301	482216
981	234516	481929
982	234790	481762
983	235048	481563
984	235318	481387
985	235556	481147
986	235804	480927
987	236028	480656
988	236294	480473
989	236542	480252
990	236803	480058
991	237038	479811
992	237286	479592
993	237529	479360
994	237764	479114
995	237998	478865
996	238222	478594
997	238477	478389
998	238731	478180
999	238963	477926
1000	239203	477689
1001	239497	477561
1002	239778	477405
1003	240030	477192
1004	240277	476968
1005	240525	476746
1006	240740	476460
1007	240949	476162
1008	241218	475982
1009	241445	475719
1010	241709	475529
1011	241962	475317
1012	242228	475131
1013	242478	474913
1014	242763	474763
1015	243023	474564
1016	243288	474376
1017	243551	474183
1018	243786	473936
1019	244033	473711
1020	244290	473507
1021	244564	473334
1022	244857	473199
1023	245143	473050
1024	245419	472880
1025	245692	472707
1026	245937	472478
1027	246173	472232
1028	246441	472047
1029	246701	471847
1030	246923	471574
1031	247152	471314
1032	247419	471126
1033	247665	470899
1034	247908	470667
1035	248159	470449
1036	248412	470234
1037	248662	470014
1038	248912	469795
1039	249187	469623
1040	249430	469388
1041	249669	469147
1042	249905	468901
1043	250157	468685
1044	250396	468445
1045	250655	468242
1046	250916	468042
1047	251200	467885
1048	251513	467782
1049	251781	467594
1050	252023	467358
1051	252266	467125
1052	252474	466826
1053	252729	466614
1054	252932	466306
1055	253175	466073
1056	253453	465903
1057	253704	465684
1058	253950	465456
1059	254230	465289
1060	254507	465118
1061	254783	464944
1062	255053	464759
1063	255358	464637
1064	255591	464383
